chnm,cmax,mol_wt,dailydose,logP,reactive_metabolites,classificn
captopril,-0.310254213,-0.895360835,-0.59973012,-0.845331206,-0.983001595,0
carbamazepine,-0.130828304,-0.762235841,0.505419172,0.101375135,1.017292348,1
carbidopa,-0.397334378,-0.832639782,-0.576463819,-1.850365426,-0.983001595,0
carboplatin,0.73715727,0.184344503,-0.239102456,-0.953013444,1.017292348,0
carisoprodol,0.206095611,-0.593499402,0.97074519,-0.055661462,1.017292348,0
cefazolin,0.737828975,0.7682168,2.83204926,-1.258113118,-0.983001595,0
celecoxib,-0.384940668,0.255339339,-0.425232863,0.751955322,1.017292348,0
cephalexin,0.083605755,0.017023097,1.668734216,-0.706241649,1.017292348,0
chlorambucil,-0.387816077,-0.28576444,-0.653242612,-0.235131858,1.017292348,0
chloramphenicol,-0.037135971,-0.153102708,2.83204926,-0.486390413,1.017292348,0
chlorpropamide,0.973851906,-0.478421089,-0.22165273,0.020613457,-0.983001595,0
cimetidine,-0.35649595,-0.649536323,0.272756163,-0.818410646,1.017292348,0
cinchophen,-0.213092107,-0.671101931,0.505419172,0.572484926,-0.983001595,1
cladribine,-0.40411818,-0.415676894,-0.308901359,-1.042748642,1.017292348,0
clofibrate,3.917346261,-0.717143018,1.668734216,0.482749728,-0.983001595,0
clotrimazole,-0.40343694,-0.000874142,-0.646262722,1.739042503,-0.983001595,0
codeine,2.747148271,-0.31976169,-0.541564368,-0.463956613,1.017292348,0
colchicine,-0.404185987,0.382023543,-0.656732557,-0.414602254,-0.983001595,0
cyproheptadine,0.701547339,-0.403676957,-0.643936091,1.106409355,-0.983001595,0
danazol,-0.403201737,-0.052638755,0.040093154,-0.769056287,1.017292348,1
dapsone,-0.340782913,-0.677856331,-0.59973012,-0.562665331,-0.983001595,0
dasatinib,-0.401921894,1.003132559,-0.541564368,-0.190264259,1.017292348,0
daunorubicin,-0.40034222,1.280236531,-0.598566805,-0.176803979,-0.983001595,0
dexamethasone,-0.401983343,0.333103021,-0.656150899,-0.176803979,1.017292348,0
diflunisal,4.846445388,-0.664554898,0.214590411,0.994240358,1.017292348,1
digoxin,-0.404329015,3.057397782,-0.657605043,-0.432549294,-0.983001595,0
dipyridamole,-0.364678256,1.119684883,-0.192569854,-0.324867056,1.017292348,0
disulfiram,-0.347147165,-0.339572989,-0.425232863,0.742981803,1.017292348,1
docetaxel,-0.394473802,3.246326593,-0.512481492,0.078941336,-0.983001595,0
dopamine,-0.403542887,-1.344926209,-0.07623835,-1.437583514,1.017292348,0
efavirenz,-0.266627253,-0.205378691,0.040093154,1.066028516,-0.983001595,1
emtricitabine,-0.22224489,-0.685248962,-0.425232863,-1.62602743,-0.983001595,0
entacapone,-0.359243162,-0.278233869,0.505419172,0.258411732,-0.983001595,0
ergocalciferol,-0.403828944,0.362467508,-0.643354434,2.277453692,-0.983001595,0
erlotinib,-0.258257421,0.339938067,-0.483398615,0.213544133,1.017292348,1
erythromycin,-0.287816704,2.72771663,1.668734216,0.37506749,1.017292348,1
estramustine,-0.395649817,0.669308835,0.505419172,1.559572106,1.017292348,1
estrone,-0.404127716,-0.523118533,-0.656732557,0.406474809,1.017292348,0
ethacrynic acid,-0.054858827,-0.293297396,-0.59973012,0.482749728,1.017292348,0
etodolac,0.321233787,-0.403989725,-0.192569854,0.123808935,1.017292348,1
etoposide,-0.224248353,1.70827178,-0.541564368,-0.728675448,1.017292348,0
exemestane,-0.403590563,-0.340525601,-0.628812996,0.662220124,1.017292348,1
famotidine,-0.401093386,-0.052708041,-0.61136327,-1.285033677,-0.983001595,0
felbamate,0.040619777,-0.748411748,2.134060234,-0.863278245,1.017292348,1
fenofibrate,-0.360903356,0.111291706,-0.425232863,1.38010171,-0.983001595,0
finasteride,-0.401711059,0.193430643,-0.652079297,0.36160721,-0.983001595,0
fluconazole,-0.310959821,-0.271327853,-0.425232863,-0.818410646,-0.983001595,1
fludrocortisone,-0.40367638,0.248874986,-0.657779541,-0.248592138,-0.983001595,0
flurbiprofen,0.202877993,-0.70618749,-0.425232863,0.86861108,-0.983001595,0
flutamide,-0.40052339,-0.48212368,0.214590411,0.505183527,1.017292348,1
fluvastatin,-0.397329081,0.46637949,-0.588096969,1.021160917,-0.983001595,0
folic acid,-0.403564076,0.676281753,-0.657430546,-2.11957102,-0.983001595,0
gefitinib,-0.396730479,0.714886239,-0.367067111,0.437882129,1.017292348,1
gemfibrozil,3.416897001,-0.663602917,0.738082181,0.527617327,1.017292348,1
glimepiride,-0.392459745,1.021435977,-0.655569242,0.572484926,-0.983001595,0
griseofulvin,-0.356305245,0.054733458,-0.07623835,-0.019767382,-0.983001595,1
haloperidol,-0.40379716,0.216713533,-0.648589352,0.931425719,1.017292348,0
hydrochlorothiazide,-0.386922941,-0.331158251,-0.628812996,-1.029288362,1.017292348,0
hydrocortisone,-0.395443219,0.12271239,-0.622996421,-0.275512697,-0.983001595,0
hydroxyurea,3.287183662,-1.885775916,1.087076694,-1.805497827,-0.983001595,1
hydroxyzine,-0.401504462,0.209981714,-0.570647244,0.213544133,-0.983001595,0
ibufenac,1.761361007,-1.070897398,2.134060234,0.442368889,1.017292348,1
ibuprofen,2.244322614,-0.972532501,0.738082181,0.783362642,1.017292348,0
ifosfamide,1.74637053,-0.588197693,2.521444143,-0.61201969,1.017292348,0
indomethacin,-0.345135226,0.089947,-0.541564368,0.917965439,1.017292348,1
irbesartan,-0.319806417,0.586041407,-0.483398615,1.694174904,-0.983001595,0
isoniazid,0.40681056,-1.457404826,-0.308901359,-1.311954237,1.017292348,1
itraconazole,-0.400120791,2.529302373,-0.425232863,1.541625067,-0.983001595,1
ketoconazole,-0.330195604,1.307663816,-0.425232863,0.953859518,1.017292348,1
lansoprazole,-0.3839935,0.171111304,-0.622996421,-0.14539666,1.017292348,0
leflunomide,-0.141656113,-0.524232298,-0.634629571,0.258411732,-0.983001595,1
letrozole,-0.402981366,-0.418371473,-0.654987584,0.123808935,-0.983001595,0
levothyroxine,-0.402981366,3.0288669,-0.657721375,0.796822922,-0.983001595,0
lomustine,-0.365823546,-0.780282031,-0.355433961,0.271872012,1.017292348,0
loratadine,-0.403805636,0.265936025,-0.646262722,1.335234111,-0.983001595,0
lovastatin,-0.40383742,0.417807081,-0.605546695,0.913478679,1.017292348,0
lumiracoxib,-0.071068757,-0.359338986,-0.541564368,0.751955322,1.017292348,1
mebendazole,-0.403023745,-0.348314242,-0.425232863,0.271872012,-0.983001595,0
medroxyprogesterone,-0.403131812,-0.003322293,0.505419172,0.572484926,-0.983001595,0
mefenamic acid,-0.118949498,-0.727056241,0.505419172,1.299340032,1.017292348,1
meloxicam,-0.370862398,0.045157127,-0.640446146,0.541077607,-0.983001595,0
melphalan,-0.397624673,-0.278835423,-0.650915982,-1.231192558,-0.983001595,0
memantine,-0.40305447,-1.161729339,-0.634629571,0.473776208,-0.983001595,0
metformin,-0.289935649,-1.513335924,1.668734216,-1.222219038,-0.983001595,0
methimazole,-0.376612155,-1.618490705,-0.646262722,-1.15043088,1.017292348,1
methotrexate,-0.396175315,0.767740774,-0.654987584,-1.827931626,1.017292348,1
methylprednisolone,-0.372670917,0.206940425,-0.649171009,-0.324867056,-0.983001595,0
methysergide,-0.404316302,0.059584177,-0.653242612,-0.324867056,-0.983001595,0
metolazone,-0.403610693,0.146377896,-0.652079297,0.123808935,-0.983001595,0
nabumetone,-0.388997389,-0.818213294,0.505419172,0.38404101,1.017292348,0
naproxen,1.716811247,-0.8043784,-0.07623835,0.428908609,1.017292348,0
nateglinide,-0.216778012,-0.193123069,-0.239102456,0.078941336,1.017292348,0
nifedipine,-0.401486451,0.009629835,-0.622996421,-0.010793862,1.017292348,0
nilutamide,-0.327542685,-0.194538803,-0.308901359,-0.190264259,-0.983001595,1
nimesulide,-0.180995387,-0.257028856,-0.425232863,0.168676534,1.017292348,1
nitrofurantoin,-0.34079033,-0.748992544,-0.425232863,-1.208758759,1.017292348,1
norethindrone,-0.404011174,-0.326388739,-0.652079297,0.334686651,1.017292348,0
omeprazole,-0.375711603,0.003188204,-0.634629571,0.002666417,1.017292348,0
orlistat,-0.192464177,1.057336066,-0.239102456,2.86073248,1.017292348,1
oxcarbazepine,-0.337162696,-0.650036051,0.505419172,-0.324867056,1.017292348,0
oxymetholone,-0.403760079,-0.087550328,-0.367067111,0.415448329,-0.983001595,1
oxytetracycline,-0.369843185,0.809779965,0.505419172,-1.401689435,-0.983001595,0
paclitaxel,-0.358801362,3.569101869,-0.498521711,0.34814693,-0.983001595,0
pantoprazole,-0.3217283,0.269348288,-0.61136327,-0.773543047,1.017292348,0
pazopanib,0.26099006,0.64907621,0.272756163,0.36160721,-0.983001595,1
piroxicam,-0.340409979,-0.095478662,-0.634629571,0.37506749,-0.983001595,0
praziquantel,-0.382654327,-0.228302669,2.83204926,0.123808935,-0.983001595,0
prednisolone,-0.397157446,0.108575528,-0.646262722,-0.271025937,-0.983001595,0
prednisone,-0.403634002,0.094438666,-0.646262722,-0.342814096,-0.983001595,0
pregabalin,0.225095132,-1.302515622,-0.308901359,-1.603593631,-0.983001595,0
primidone,-0.354845292,-0.888583293,0.796247933,-0.589585891,-0.983001595,0
probenecid,0.1900499,-0.417975112,0.505419172,0.442368889,-0.983001595,0
progesterone,-0.402317077,-0.21388698,-0.308901359,0.738495043,-0.983001595,0
propofol,-0.23676708,-1.168960326,-0.626486366,0.702600963,-0.983001595,0
pyridoxine,-0.403070362,-1.232726419,-0.471765465,-1.343361556,-0.983001595,0
pyrimethamine,-0.369513689,-0.674977317,-0.570647244,0.209057373,-0.983001595,0
quinidine,-0.312591409,-0.144072951,0.738082181,0.545564367,1.017292348,0
quinine,-0.306387138,-0.144074634,1.087076694,0.545564367,-0.983001595,0
raloxifene,-0.404347027,0.901992857,-0.588096969,1.335234111,1.017292348,0
ranitidine,-0.385385647,-0.214293158,-0.308901359,-0.876738525,1.017292348,0
rifabutin,-0.393013849,3.520703657,-0.483398615,0.841690521,-0.983001595,0
riluzole,-0.386851957,-0.776754127,-0.541564368,0.034073737,-0.983001595,1
ritonavir,-0.324356851,2.636673184,0.738082181,0.751955322,1.017292348,1
rosiglitazone,-0.393302026,0.087416238,-0.650915982,0.078941336,1.017292348,0
simvastatin,-0.403485675,0.516171978,-0.622996421,1.101922595,1.017292348,0
spironolactone,-0.403087314,0.502197391,-0.570647244,0.249438212,1.017292348,0
stavudine,-0.367672326,-0.846776645,-0.564830668,-1.320927756,1.017292348,1
sulfasalazine,-0.244798941,0.374699146,1.668734216,0.123808935,-0.983001595,1
sulindac,-0.065484277,0.080290022,-0.192569854,0.536590847,1.017292348,1
tamoxifen,-0.402544864,0.186210456,-0.634629571,2.187718494,1.017292348,1
telmisartan,-0.39534151,1.18975137,-0.61136327,2.456924088,-0.983001595,0
temazepam,-0.157481454,-0.310116495,-0.634629571,-0.015280622,-0.983001595,0
terbinafine,-0.36197978,-0.375403232,-0.367067111,1.649307305,1.017292348,1
testosterone,-0.404308885,-0.396479912,-0.518298067,0.491723248,-0.983001595,1
tetracycline,-0.109643091,0.697580175,0.505419172,-1.581159831,1.017292348,0
theophylline,0.496192959,-1.155683086,-0.192569854,-1.006854563,-0.983001595,0
ticlopidine,-0.318810513,-0.569265442,-0.07623835,0.303279331,1.017292348,1
tinidazole,0.461132895,-0.685074975,1.668734216,-1.15491764,-0.983001595,0
tipranavir,-0.165977364,1.807205902,0.505419172,2.097983296,-0.983001595,1
tolazamide,0.549166585,-0.235359038,-0.07623835,0.209057373,-0.983001595,0
tolcapone,0.382753118,-0.50295856,-0.134404102,0.796822922,1.017292348,1
topiramate,-0.192464177,-0.039267124,-0.308901359,-1.311954237,-0.983001595,0
trimethadione,0.039737236,-1.41531935,1.087076694,-0.993394283,-0.983001595,0
troglitazone,-0.336693349,0.677280509,-0.192569854,0.617352525,1.017292348,1
valproic acid,5.316792915,-1.407809537,1.087076694,0.235977933,1.017292348,1
warfarin,-0.352816402,-0.256901505,-0.649171009,0.213544133,1.017292348,0
zafirlukast,-0.391531647,1.617938025,-0.61136327,1.424969309,1.017292348,1
zileuton,-0.265364362,-0.762084366,0.738082181,-0.594072651,1.017292348,1
zonisamide,-0.150085276,-0.930842404,-0.425232863,-0.773543047,-0.983001595,0
