"Classification","chnm","tgt_abbr","testname","NAS"
"NoDILI Drugs","caffeine","xtt","ATG_XTT_Cytotoxicity_up_Row1093",0.999803284
"AmbiDILIDrugs","capecitabine","TP53","TOX21_p53_BLA_p2_ratio_Row80",0.958712827
"AmbiDILIDrugs","capecitabine","TP53","TOX21_p53_BLA_p2_viability_Row180",0.958610918
"LessDILIDrugs","captopril","TP53","TOX21_p53_BLA_p3_ch1_Row121",0.99991984
"MostDILI Drugs","carbamazepine","ADORA1","NVS_GPCR_hAdoRA1_Row574",0.715462476
"MostDILI Drugs","carbamazepine","ESR1","ACEA_T47D_80hr_Positive_Row621",-1.05685138
"MostDILI Drugs","carbamazepine","ESR1","ATG_ERE_CIS_up_Row9",-1.181874758
"MostDILI Drugs","carbamazepine","GABRA1","NVS_LGIC_rGABAR_NonSelective_Row1025",0.80025789
"MostDILI Drugs","carbamazepine","NR1H4","OT_FXR_FXRSRC1_1440_Row1054",0.852773935
"MostDILI Drugs","carbamazepine","NR1I2","ATG_PXRE_CIS_up_Row16",-0.147650037
"MostDILI Drugs","carbamazepine","RXRB","ATG_RXRb_TRANS_dn_Row446",-1.661216706
"MostDILI Drugs","carbamazepine","zf_activityscore","Tanguay_ZF_120hpf_ActivityScore_Row1057",0.837603647
"AmbiDILIDrugs","carbidopa","ESR1","TOX21_ERa_LUC_BG1_Agonist_Row253",0.999980995
"LessDILIDrugs","carboplatin","NRF2","TOX21_ARE_BLA_agonist_ratio_Row34",0.559883243
"NoDILI Drugs","carisoprodol","TP53","TOX21_p53_BLA_p2_ratio_Row80",0.73950857
"NoDILI Drugs","carisoprodol","TP53","TOX21_p53_BLA_p2_ch1_Row98",0.737918152
"NoDILI Drugs","carisoprodol","TP53","TOX21_p53_BLA_p2_viability_Row180",0.72886373
"LessDILIDrugs","cefazolin","NRF2","TOX21_ARE_BLA_agonist_ratio_Row34",0.772395116
"LessDILIDrugs","celecoxib","COX2","NVS_ENZ_oCOX2_Row931",0.918961413
"LessDILIDrugs","celecoxib","CyP2C9","NVS_ADME_hCYP2C9_Row546",-2.326139972
"LessDILIDrugs","celecoxib","MTF1","ATG_MRE_CIS_up_Row84",-2.773799863
"LessDILIDrugs","celecoxib","NR1H3","ATG_DR4_LXR_CIS_dn_Row28",-3.567609544
"LessDILIDrugs","celecoxib","NR1I2","ATG_PXRE_CIS_up_Row16",-0.22510267
"LessDILIDrugs","celecoxib","NRF2","ATG_NRF2_ARE_CIS_up_Row48",-2.395464963
"LessDILIDrugs","celecoxib","PTGER2","BSK_LPS_PGE2_down_Row146",0.994543867
"LessDILIDrugs","celecoxib","SLC6A2","NVS_TR_hNET_Row595",-0.054046594
"LessDILIDrugs","celecoxib","THBD","BSK_CASM3C_Thrombomodulin_up_Row23",0.564656054
"LessDILIDrugs","celecoxib","TSPO","NVS_MP_rPBR_Row587",-1.009105996
"LessDILIDrugs","celecoxib","VDR","ATG_VDRE_CIS_up_Row37",-2.264067915
"LessDILIDrugs","celecoxib","zf_teratoscore","NHEERL_ZF_144hpf_TERATOSCORE_up_Row13",-3.755713531
"LessDILIDrugs","cephalexin","NRF2","TOX21_ARE_BLA_agonist_ratio_Row34",0.4267896
"LessDILIDrugs","chlorambucil","F3","BSK_LPS_TissueFactor_down_Row147",-3.906197904
"LessDILIDrugs","chlorambucil","KDR","BSK_4H_VEGFRII_down_Row484",0.259873314
"LessDILIDrugs","chlorambucil","LDLR","BSK_CASM3C_LDLR_down_Row501",-3.694265617
"LessDILIDrugs","chlorambucil","PLAU","BSK_BE3C_uPA_down_Row60",-3.313474661
"LessDILIDrugs","chlorambucil","PLAUR","BSK_4H_uPAR_down_Row101",0.492530788
"LessDILIDrugs","chlorambucil","prlfrn","BSK_CASM3C_Proliferation_down_Row26",-0.628026818
"LessDILIDrugs","chlorambucil","prlfrn","BSK_3C_Proliferation_down_Row100",-2.206695589
"LessDILIDrugs","chlorambucil","prlfrn","BSK_hDFCGF_Proliferation_down_Row25",-3.006784578
"LessDILIDrugs","chlorambucil","THBD","BSK_CASM3C_Thrombomodulin_up_Row23",-2.791095325
"NoDILI Drugs","chloramphenicol","NR1I2","ATG_PXRE_CIS_up_Row16",-0.213993062
"LessDILIDrugs","chlorpropamide","NR1I2","ATG_PXRE_CIS_up_Row16",0.041575217
"LessDILIDrugs","cimetidine","TP53","TOX21_p53_BLA_p2_viability_Row180",0.999996436
"LessDILIDrugs","cimetidine","TP53","TOX21_p53_BLA_p4_ch2_Row163",0.958573204
"MostDILI Drugs","cinchophen","PPARG","TOX21_PPARg_BLA_Agonist_ratio_Row2",-0.852294868
"AmbiDILIDrugs","cladribine","AR","TOX21_AR_LUC_MDAKB2_Agonist_Row252",0.998127753
"AmbiDILIDrugs","cladribine","cellcycle","APR_HepG2_MitoMass_24h_up_Row631",0.431962775
"AmbiDILIDrugs","cladribine","cellcycle","APR_HepG2_CellCycleArrest_72h_dn_Row623",-0.87878022
"AmbiDILIDrugs","cladribine","cytotoxicity","APR_HepG2_CellLoss_24h_dn_Row203",-1.308380617
"AmbiDILIDrugs","cladribine","ESR1","ACEA_T47D_80hr_Negative_Row198",-2.793861101
"AmbiDILIDrugs","cladribine","NR1I3","NVS_NR_hCAR_Antagonist_Row1031",0.991189427
"AmbiDILIDrugs","cladribine","nucsize","APR_HepG2_NuclearSize_24h_up_Row639",-3.333033965
"AmbiDILIDrugs","cladribine","oxstress","APR_HepG2_OxidativeStress_72h_up_Row202",-0.657736211
"AmbiDILIDrugs","cladribine","prlfrn","BSK_3C_Proliferation_down_Row100",0.24949163
"AmbiDILIDrugs","cladribine","prlfrn","BSK_hDFCGF_Proliferation_down_Row25",-1.048275815
"AmbiDILIDrugs","cladribine","prlfrn","BSK_SAg_Proliferation_down_Row54",-1.334896388
"AmbiDILIDrugs","cladribine","THRA","TOX21_TR_LUC_GH3_Antagonist_Row97",-1.486342203
"AmbiDILIDrugs","cladribine","TP53","APR_HepG2_p53Act_72h_up_Row173",-0.982706035
"LessDILIDrugs","clofibrate","COX2","NVS_ENZ_oCOX2_Row931",0.97851585
"LessDILIDrugs","clofibrate","cytotoxicity","APR_HepG2_CellLoss_24h_dn_Row203",0.715983342
"LessDILIDrugs","clofibrate","GABRA1","NVS_LGIC_bGABARa1_Row1020",0.924830693
"LessDILIDrugs","clofibrate","mmp","APR_HepG2_MitoMembPot_24h_dn_Row201",0.705293223
"LessDILIDrugs","clofibrate","NR1H4","OT_FXR_FXRSRC1_0480_Row94",0.825840612
"LessDILIDrugs","clofibrate","PPARA","ATG_PPARa_TRANS_up_Row318",0.889606129
"LessDILIDrugs","clofibrate","PTGS1","NVS_ENZ_oCOX1_Row568",0.996741325
"LessDILIDrugs","clofibrate","PTPN12","NVS_ENZ_hPTPN12_Row888",0.999904027
"LessDILIDrugs","clofibrate","PTPN2","NVS_ENZ_hPTPN2_Row895",0.998685564
"LessDILIDrugs","clofibrate","PTPRF","NVS_ENZ_hPTPRF_Activator_Row908",0.998128469
"LessDILIDrugs","clofibrate","zf_activityscore","Tanguay_ZF_120hpf_ActivityScore_Row1057",0.898257058
"LessDILIDrugs","clofibrate","zf_axis","Tanguay_ZF_120hpf_AXIS_up_Row1056",0.78712478
"LessDILIDrugs","clofibrate","zf_cfin","Tanguay_ZF_120hpf_CFIN_up_Row1059",0.688527576
"LessDILIDrugs","clofibrate","zf_nc","Tanguay_ZF_120hpf_NC_up_Row1064",0.972838019
"LessDILIDrugs","clofibrate","zf_pe","Tanguay_ZF_120hpf_PE_up_Row1066",0.846727369
"LessDILIDrugs","clofibrate","zf_teratoscore","NHEERL_ZF_144hpf_TERATOSCORE_up_Row13",0.992220664
"LessDILIDrugs","clofibrate","zf_trun","Tanguay_ZF_120hpf_TRUN_up_Row1072",0.866018562
"LessDILIDrugs","clotrimazole","androstenedione","CEETOX_H295R_ANDR_dn_Row304",-1.285276253
"LessDILIDrugs","clotrimazole","cortisol","CEETOX_H295R_CORTISOL_dn_Row307",0.467973805
"LessDILIDrugs","clotrimazole","cortisol","CEETOX_H295R_11DCORT_dn_Row306",-0.677760874
"LessDILIDrugs","clotrimazole","CYP3A4","NVS_ADME_hCYP3A4_Row550",0.619542069
"LessDILIDrugs","clotrimazole","deoxycorticosterone","CEETOX_H295R_DOC_dn_Row301",0.699435483
"LessDILIDrugs","clotrimazole","estradiol","CEETOX_H295R_ESTRADIOL_dn_Row604",-1.10111354
"LessDILIDrugs","clotrimazole","estrogen","CEETOX_H295R_ESTRONE_dn_Row606",-3.287829391
"LessDILIDrugs","clotrimazole","HIF1a","ATG_HIF1a_CIS_dn_Row378",0.992747126
"LessDILIDrugs","clotrimazole","hydroxyprogesterone","CEETOX_H295R_OHPROG_dn_Row303",-0.072384437
"LessDILIDrugs","clotrimazole","NR1I2","ATG_PXR_TRANS_up_Row18",-1.28791746
"LessDILIDrugs","clotrimazole","OPRM1","NVS_GPCR_hOpiate_mu_Row579",-1.078540747
"LessDILIDrugs","clotrimazole","testosterone","CEETOX_H295R_TESTO_dn_Row305",-1.013398609
"NoDILI Drugs","codeine","AR","TOX21_AR_LUC_MDAKB2_Agonist_Row252",0.806271017
"NoDILI Drugs","codeine","NRF2","TOX21_ARE_BLA_agonist_ratio_Row34",0.693343271
"AmbiDILIDrugs","colchicine","ATAD5","TOX21_ELG1_LUC_Agonist_Row616",-1.506059877
"AmbiDILIDrugs","colchicine","CD38","BSK_SAg_CD38_down_Row86",-0.037471104
"AmbiDILIDrugs","colchicine","CD40","BSK_SAg_CD40_down_Row57",0.386503067
"AmbiDILIDrugs","colchicine","CD40","BSK_LPS_CD40_down_Row64",0.382094785
"AmbiDILIDrugs","colchicine","CD69","BSK_SAg_CD69_down_Row120",-1.884277485
"AmbiDILIDrugs","colchicine","cellcycle","APR_HepG2_MitoticArrest_72h_up_Row176",0.754149509
"AmbiDILIDrugs","colchicine","cellcycle","APR_HepG2_CellCycleArrest_24h_dn_Row186",0.70011865
"AmbiDILIDrugs","colchicine","cellcycle","APR_HepG2_MitoticArrest_24h_up_Row636",0.636195276
"AmbiDILIDrugs","colchicine","cellcycle","APR_HepG2_CellCycleArrest_72h_dn_Row623",-0.588102331
"AmbiDILIDrugs","colchicine","cellmorphology","APR_HepG2_MicrotubuleCSK_72h_dn_Row628",0.754601227
"AmbiDILIDrugs","colchicine","cellmorphology","APR_HepG2_NuclearSize_72h_up_Row641",0.739542822
"AmbiDILIDrugs","colchicine","cytotoxicity","APR_HepG2_CellLoss_24h_dn_Row203",0.754601227
"AmbiDILIDrugs","colchicine","cytotoxicity","BSK_3C_Vis_down_Row62",0.349142331
"AmbiDILIDrugs","colchicine","ESR1","ACEA_T47D_80hr_Negative_Row198",0.88696589
"AmbiDILIDrugs","colchicine","HLA-DR","BSK_BE3C_HLADR_down_Row59",0.386503067
"AmbiDILIDrugs","colchicine","intmrkr","ATG_CMV_CIS_up_Row39",-3.411303252
"AmbiDILIDrugs","colchicine","JUN","APR_HepG2_StressKinase_72h_up_Row189",0.754601227
"AmbiDILIDrugs","colchicine","JUN","APR_HepG2_StressKinase_24h_up_Row645",0.740572761
"AmbiDILIDrugs","colchicine","NR1H4","TOX21_FXR_BLA_antagonist_ratio_Row183",0.633027607
"AmbiDILIDrugs","colchicine","NR1I2","ATG_PXRE_CIS_dn_Row429",0.944785276
"AmbiDILIDrugs","colchicine","NRF2","TOX21_ARE_BLA_agonist_ratio_Row34",0.186337301
"AmbiDILIDrugs","colchicine","oxstress","APR_HepG2_OxidativeStress_24h_up_Row205",0.754601227
"AmbiDILIDrugs","colchicine","oxstress","APR_HepG2_OxidativeStress_72h_up_Row202",-2.100407669
"AmbiDILIDrugs","colchicine","PLAUR","BSK_4H_uPAR_down_Row101",0.287976933
"AmbiDILIDrugs","colchicine","PLAUR","BSK_3C_uPAR_down_Row91",-1.751666442
